issue_day,violation,violations_count,amount_due
2024-02-23,MOBILE BUS LANE VIOLATION,545,0.0
2024-02-23,MISUSE PARKING PERMIT,16,0.0
2024-02-23,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-02-23,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-02-23,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-02-24,MOBILE BUS LANE VIOLATION,204,0.0
2024-02-24,NO STAND TAXI/FHV RELIEF STAND,31,0.0
2024-02-24,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-02-24,MISUSE PARKING PERMIT,8,0.0
2024-02-24,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-02-25,MOBILE BUS LANE VIOLATION,109,0.0
2024-02-25,NO STAND TAXI/FHV RELIEF STAND,47,0.0
2024-02-25,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-02-26,MOBILE BUS LANE VIOLATION,440,0.0
2024-02-26,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-02-26,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-02-26,MISUSE PARKING PERMIT,6,0.0
2024-02-26,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-02-27,MOBILE BUS LANE VIOLATION,389,0.0
2024-02-27,MISUSE PARKING PERMIT,18,0.0
2024-02-27,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-27,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-02-27,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-02-28,MOBILE BUS LANE VIOLATION,448,0.0
2024-02-28,MISUSE PARKING PERMIT,21,0.0
2024-02-28,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-28,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-02-28,NO PARKING-EXC. DSBLTY PERMIT,7,0.0
2024-02-29,MOBILE BUS LANE VIOLATION,445,0.0
2024-02-29,MISUSE PARKING PERMIT,27,0.0
2024-02-29,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-02-29,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-29,NO PARKING-EXC. DSBLTY PERMIT,8,0.0
2024-03-01,MOBILE BUS LANE VIOLATION,481,0.0
2024-03-01,MISUSE PARKING PERMIT,20,0.0
2024-03-01,FRAUDULENT USE PARKING PERMIT,19,0.0
2024-03-01,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-03-01,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-03-02,MOBILE BUS LANE VIOLATION,192,0.0
2024-03-02,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-03-02,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-03-02,MISUSE PARKING PERMIT,6,0.0
2024-03-02,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-03-03,MOBILE BUS LANE VIOLATION,149,0.0
2024-03-03,NO STAND TAXI/FHV RELIEF STAND,45,0.0
2024-03-03,MISUSE PARKING PERMIT,5,0.0
2024-03-03,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-03-04,MOBILE BUS LANE VIOLATION,429,0.0
2024-03-04,NO STAND TAXI/FHV RELIEF STAND,20,0.0
2024-03-04,NO PARKING-EXC. DSBLTY PERMIT,16,0.0
2024-03-04,FRAUDULENT USE PARKING PERMIT,14,0.0
2024-03-04,MISUSE PARKING PERMIT,13,0.0
2024-03-05,MOBILE BUS LANE VIOLATION,415,0.0
2024-03-05,MISUSE PARKING PERMIT,20,0.0
2024-03-05,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-03-05,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-05,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-03-06,MOBILE BUS LANE VIOLATION,358,0.0
2024-03-06,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-03-06,MISUSE PARKING PERMIT,13,0.0
2024-03-06,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-03-06,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-07,MOBILE BUS LANE VIOLATION,432,0.0
2024-03-07,MISUSE PARKING PERMIT,14,0.0
2024-03-07,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-07,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-03-07,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-08,MOBILE BUS LANE VIOLATION,364,0.0
2024-03-08,FRAUDULENT USE PARKING PERMIT,20,0.0
2024-03-08,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-03-08,MISUSE PARKING PERMIT,17,0.0
2024-03-08,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-03-09,MOBILE BUS LANE VIOLATION,152,0.0
2024-03-09,NO STAND TAXI/FHV RELIEF STAND,19,0.0
2024-03-09,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-03-09,MISUSE PARKING PERMIT,2,0.0
2024-03-09,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-03-10,MOBILE BUS LANE VIOLATION,120,0.0
2024-03-10,NO STAND TAXI/FHV RELIEF STAND,52,0.0
2024-03-10,MISUSE PARKING PERMIT,13,0.0
2024-03-10,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-11,MOBILE BUS LANE VIOLATION,368,0.0
2024-03-11,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-03-11,MISUSE PARKING PERMIT,14,0.0
2024-03-11,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-03-11,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-12,MOBILE BUS LANE VIOLATION,342,0.0
2024-03-12,MISUSE PARKING PERMIT,16,0.0
2024-03-12,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-12,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-03-12,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-03-13,MOBILE BUS LANE VIOLATION,321,0.0
2024-03-13,FRAUDULENT USE PARKING PERMIT,15,0.0
2024-03-13,MISUSE PARKING PERMIT,15,0.0
2024-03-13,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-03-13,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-03-14,MOBILE BUS LANE VIOLATION,364,0.0
2024-03-14,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-14,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-03-14,MISUSE PARKING PERMIT,10,0.0
2024-03-14,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-03-15,MOBILE BUS LANE VIOLATION,390,0.0
2024-03-15,MISUSE PARKING PERMIT,15,0.0
2024-03-15,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-03-15,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-03-15,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-16,MOBILE BUS LANE VIOLATION,137,0.0
2024-03-16,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-03-16,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-03-16,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-16,MISUSE PARKING PERMIT,2,0.0
2024-03-17,MOBILE BUS LANE VIOLATION,130,0.0
2024-03-17,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-03-17,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-03-17,MISUSE PARKING PERMIT,1,0.0
2024-03-18,MOBILE BUS LANE VIOLATION,290,0.0
2024-03-18,MISUSE PARKING PERMIT,17,0.0
2024-03-18,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-03-18,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-03-18,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-19,MOBILE BUS LANE VIOLATION,297,0.0
2024-03-19,MISUSE PARKING PERMIT,20,0.0
2024-03-19,FRAUDULENT USE PARKING PERMIT,18,0.0
2024-03-19,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-03-19,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-20,MOBILE BUS LANE VIOLATION,297,0.0
2024-03-20,MISUSE PARKING PERMIT,23,0.0
2024-03-20,FRAUDULENT USE PARKING PERMIT,14,0.0
2024-03-20,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-03-20,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-21,MOBILE BUS LANE VIOLATION,224,0.0
2024-03-21,FRAUDULENT USE PARKING PERMIT,26,0.0
2024-03-21,MISUSE PARKING PERMIT,16,0.0
2024-03-21,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-03-21,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-22,MOBILE BUS LANE VIOLATION,292,0.0
2024-03-22,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-03-22,MISUSE PARKING PERMIT,10,0.0
2024-03-22,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-03-22,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-23,MOBILE BUS LANE VIOLATION,148,0.0
2024-03-23,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-03-23,MISUSE PARKING PERMIT,4,0.0
2024-03-23,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-03-24,MOBILE BUS LANE VIOLATION,88,0.0
2024-03-24,NO STAND TAXI/FHV RELIEF STAND,42,0.0
2024-03-24,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-24,MISUSE PARKING PERMIT,2,0.0
2024-03-25,MOBILE BUS LANE VIOLATION,273,0.0
2024-03-25,FRAUDULENT USE PARKING PERMIT,15,0.0
2024-03-25,MISUSE PARKING PERMIT,11,0.0
2024-03-25,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-03-25,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-03-26,MOBILE BUS LANE VIOLATION,305,0.0
2024-03-26,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-26,MISUSE PARKING PERMIT,9,0.0
2024-03-26,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-03-26,NO PARKING-EXC. DSBLTY PERMIT,7,0.0
2024-03-27,MOBILE BUS LANE VIOLATION,293,0.0
2024-03-27,FRAUDULENT USE PARKING PERMIT,21,0.0
2024-03-27,MISUSE PARKING PERMIT,18,0.0
2024-03-27,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-03-27,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-03-28,MOBILE BUS LANE VIOLATION,299,0.0
2024-03-28,FRAUDULENT USE PARKING PERMIT,5,0.0
2024-03-28,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-03-28,MISUSE PARKING PERMIT,4,0.0
2024-03-28,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-29,MOBILE BUS LANE VIOLATION,376,0.0
2024-03-29,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-03-29,MISUSE PARKING PERMIT,10,0.0
2024-03-29,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-03-29,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-03-30,MOBILE BUS LANE VIOLATION,99,0.0
2024-03-30,NO STAND TAXI/FHV RELIEF STAND,23,0.0
2024-03-30,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-03-31,MOBILE BUS LANE VIOLATION,98,0.0
2024-03-31,NO STAND TAXI/FHV RELIEF STAND,38,0.0
2024-03-31,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-31,MISUSE PARKING PERMIT,1,0.0
2024-04-01,MOBILE BUS LANE VIOLATION,271,0.0
2024-04-01,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-04-01,MISUSE PARKING PERMIT,8,0.0
2024-04-01,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-04-01,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-04-02,MOBILE BUS LANE VIOLATION,242,0.0
2024-04-02,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-04-02,MISUSE PARKING PERMIT,8,0.0
2024-04-02,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-04-02,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-04-03,MOBILE BUS LANE VIOLATION,233,0.0
2024-04-03,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-04-03,MISUSE PARKING PERMIT,7,0.0
2024-04-03,NO STAND TAXI/FHV RELIEF STAND,6,0.0
2024-04-03,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-04-04,MOBILE BUS LANE VIOLATION,213,0.0
2024-04-04,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-04-04,MISUSE PARKING PERMIT,17,0.0
2024-04-04,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-04-04,NO PARKING-EXC. DSBLTY PERMIT,8,0.0
2024-04-05,MOBILE BUS LANE VIOLATION,278,0.0
2024-04-05,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-04-05,MISUSE PARKING PERMIT,10,0.0
2024-04-05,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-04-05,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-06,MOBILE BUS LANE VIOLATION,103,0.0
2024-04-06,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-04-06,MISUSE PARKING PERMIT,1,0.0
2024-04-07,MOBILE BUS LANE VIOLATION,88,0.0
2024-04-07,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-04-07,FRAUDULENT USE PARKING PERMIT,1,0.0
2024-04-07,MISUSE PARKING PERMIT,1,0.0
2024-04-08,MOBILE BUS LANE VIOLATION,224,0.0
2024-04-08,MISUSE PARKING PERMIT,7,0.0
2024-04-08,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-04-08,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-04-08,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-04-09,MOBILE BUS LANE VIOLATION,179,0.0
2024-04-09,FRAUDULENT USE PARKING PERMIT,18,0.0
2024-04-09,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-04-09,MISUSE PARKING PERMIT,12,0.0
2024-04-09,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-04-10,MOBILE BUS LANE VIOLATION,234,0.0
2024-04-10,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-04-10,MISUSE PARKING PERMIT,9,0.0
2024-04-10,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-04-10,NO STAND TAXI/FHV RELIEF STAND,2,0.0
2024-04-11,MOBILE BUS LANE VIOLATION,145,0.0
2024-04-11,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-04-11,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-04-11,MISUSE PARKING PERMIT,6,0.0
2024-04-11,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-04-12,MOBILE BUS LANE VIOLATION,108,0.0
2024-04-12,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-04-12,MISUSE PARKING PERMIT,9,0.0
2024-04-12,NO STAND TAXI/FHV RELIEF STAND,6,0.0
2024-04-12,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-13,MOBILE BUS LANE VIOLATION,36,0.0
2024-04-13,NO STAND TAXI/FHV RELIEF STAND,20,0.0
2024-04-13,FRAUDULENT USE PARKING PERMIT,5,0.0
2024-04-14,MOBILE BUS LANE VIOLATION,23,0.0
2024-04-14,NO STAND TAXI/FHV RELIEF STAND,22,0.0
2024-04-14,MISUSE PARKING PERMIT,4,0.0
2024-04-15,MOBILE BUS LANE VIOLATION,54,0.0
2024-04-15,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-04-15,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-04-15,MISUSE PARKING PERMIT,6,0.0
2024-04-15,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-04-16,MOBILE BUS LANE VIOLATION,73,0.0
2024-04-16,MISUSE PARKING PERMIT,12,0.0
2024-04-16,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-04-16,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-04-16,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-04-17,MOBILE BUS LANE VIOLATION,57,0.0
2024-04-17,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-04-17,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-04-17,MISUSE PARKING PERMIT,7,0.0
2024-04-17,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-04-18,MOBILE BUS LANE VIOLATION,47,0.0
2024-04-18,FRAUDULENT USE PARKING PERMIT,11,0.0
2024-04-18,MISUSE PARKING PERMIT,4,0.0
2024-04-18,NO STAND TAXI/FHV RELIEF STAND,4,0.0
2024-04-19,MOBILE BUS LANE VIOLATION,39,0.0
2024-04-19,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-04-19,MISUSE PARKING PERMIT,5,0.0
2024-04-19,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-04-19,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-20,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-04-20,MISUSE PARKING PERMIT,4,0.0
2024-04-20,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-04-20,MOBILE BUS LANE VIOLATION,3,0.0
2024-04-20,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-21,NO STAND TAXI/FHV RELIEF STAND,22,0.0
2024-04-21,MOBILE BUS LANE VIOLATION,2,0.0
2024-04-21,FRAUDULENT USE PARKING PERMIT,1,0.0
2024-04-21,MISUSE PARKING PERMIT,1,0.0
2024-04-22,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-04-22,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-04-22,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-04-22,MISUSE PARKING PERMIT,2,0.0
2024-04-23,FRAUDULENT USE PARKING PERMIT,28,0.0
2024-04-23,NO STAND TAXI/FHV RELIEF STAND,6,0.0
2024-04-23,MISUSE PARKING PERMIT,2,0.0
2024-04-23,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-24,FRAUDULENT USE PARKING PERMIT,41,0.0
2024-04-24,MISUSE PARKING PERMIT,9,0.0
2024-04-24,NO STAND TAXI/FHV RELIEF STAND,3,0.0
2024-04-25,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-04-25,NO STAND TAXI/FHV RELIEF STAND,3,0.0
2024-04-25,MISUSE PARKING PERMIT,1,0.0
2024-04-25,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-26,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-04-26,NO STAND TAXI/FHV RELIEF STAND,4,0.0
2024-04-26,MISUSE PARKING PERMIT,3,0.0
2024-04-26,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-27,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-04-27,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-04-27,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-28,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-04-28,MISUSE PARKING PERMIT,1,0.0
2024-04-29,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-04-29,MISUSE PARKING PERMIT,6,0.0
2024-04-29,NO STAND TAXI/FHV RELIEF STAND,2,0.0
2024-04-29,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-04-30,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-04-30,NO STAND TAXI/FHV RELIEF STAND,3,0.0
2024-04-30,MISUSE PARKING PERMIT,1,0.0
2024-05-01,FRAUDULENT USE PARKING PERMIT,11,0.0
2024-05-01,MISUSE PARKING PERMIT,4,0.0
2024-05-01,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-05-02,FRAUDULENT USE PARKING PERMIT,5,0.0
2024-05-02,NO STAND TAXI/FHV RELIEF STAND,2,0.0
2024-05-02,MISUSE PARKING PERMIT,1,0.0
2024-05-02,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-05-03,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-05-03,NO STAND TAXI/FHV RELIEF STAND,1,0.0
2024-05-04,NO STAND TAXI/FHV RELIEF STAND,1,0.0
2024-05-06,FRAUDULENT USE PARKING PERMIT,1,0.0
2024-09-11,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2025-07-27,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2028-05-08,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2063-10-08,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2071-10-31,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2096-02-06,NO PARKING-EXC. DSBLTY PERMIT,1,191.94
2097-12-11,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
